"10",2000,"05","045","07373","00","WFCM  ","PR",31,"C",120,,,,,,,,,14485,,,,14485,1054,,,6495,"BARRETT RESOURCES CORP                            ","UNOCAL                             ","GM 32-1        ",2000-12-07 00:00:00
"09",2000,"05","045","07373","00","WFCM  ","PR",30,"",,,,,,,,,,14454,,,,14454,1051,,,6495,"BARRETT RESOURCES CORP                            ","UNOCAL                             ","GM 32-1        ",2000-11-06 00:00:00
"02",2000,"05","045","07373","00","WFCM  ","PR",29,"C",116,,,,,,,,,21137,,,,21137,1051,,,6495,"BARRETT RESOURCES CORP                            ","UNOCAL                             ","GM 32-1        ",2000-04-05 00:00:00
"08",2000,"05","045","07373","00","WFCM  ","PR",31,"C",111,,,,,,,,,15319,,,,15319,1051,,,6495,"BARRETT RESOURCES CORP                            ","UNOCAL                             ","GM 32-1        ",2000-10-11 00:00:00
"03",2000,"05","045","07373","00","WFCM  ","PR",31,"C",155,,,,,,,,,20700,,,,20700,1051,,,6495,"BARRETT RESOURCES CORP                            ","UNOCAL                             ","GM 32-1        ",2000-05-05 00:00:00
"07",2000,"05","045","07373","00","WFCM  ","PR",31,"C",80,,,,,,,,,16012,,,,16012,1051,,,6495,"BARRETT RESOURCES CORP                            ","UNOCAL                             ","GM 32-1        ",2000-09-25 00:00:00
"01",2000,"05","045","07373","00","WFCM  ","PR",31,"C",202,,,,,,,,,25417,,,,25417,1051,,,6495,"BARRETT RESOURCES CORP                            ","UNOCAL                             ","GM 32-1        ",2000-03-16 00:00:00
"04",2000,"05","045","07373","00","WFCM  ","PR",30,"C",170,,,,,,,,,17864,,,,17864,1051,,,6495,"BARRETT RESOURCES CORP                            ","UNOCAL                             ","GM 32-1        ",2000-06-09 00:00:00
"12",1999,"05","045","07373","00","WFCM  ","PR",31,"C",202,,,,,,,,,27858,,,,27858,1051,,,6495,"BARRETT RESOURCES CORP                            ","UNOCAL                             ","GM 32-1        ",2000-02-17 00:00:00
"05",2000,"05","045","07373","00","WFCM  ","PR",31,"C",78,,,,,,,,,17082,,,,17082,1051,,,6495,"BARRETT RESOURCES CORP                            ","UNOCAL                             ","GM 32-1        ",2000-07-10 00:00:00
"11",1999,"05","045","07373","00","WFCM  ","PR",30,"C",135,,,,,,,,,30762,,,,30762,1051,,,6495,"BARRETT RESOURCES CORP                            ","UNOCAL                             ","GM 32-1        ",2000-01-10 00:00:00
"06",2000,"05","045","07373","00","WFCM  ","PR",30,"C",80,,,,,,,,,15272,,,,15272,1051,,,6495,"BARRETT RESOURCES CORP                            ","UNOCAL                             ","GM 32-1        ",2000-08-02 00:00:00
"06",2000,"05","045","07392","00","WMFK  ","PR",29,"M",7,,,55,14,,,69,,6176,,87,,6263,1116,,,6050,"BALLARD PETROLEUM LLC                             ","SHAEFFER                           ","13-2           ",2000-08-07 00:00:00
"10",2000,"05","045","07392","00","WMFK  ","PR",29,"M",12,,,126,,,,126,,4420,,87,,4507,1133,,,6050,"BALLARD PETROLEUM LLC                             ","SHAEFFER                           ","13-2           ",2000-12-20 00:00:00
"09",2000,"05","045","07392","00","WMFK  ","PR",28,"M",23,,,107,19,,,126,,5186,,84,,5270,1116,,,6050,"BALLARD PETROLEUM LLC                             ","SHAEFFER                           ","13-2           ",2000-11-07 00:00:00
"08",2000,"05","045","07392","00","WMFK  ","PR",21,"M",17,,,97,10,,,107,,5363,,63,,5426,1116,,,6050,"BALLARD PETROLEUM LLC                             ","SHAEFFER                           ","13-2           ",2000-10-13 00:00:00
"02",2000,"05","045","07392","00","WMFK  ","PR",29,"M",30,,,114,29,2,,141,54.5,8715,,87,,8802,1116,,,6050,"BALLARD PETROLEUM LLC                             ","SHAEFFER                           ","13-2           ",2000-04-05 00:00:00
"10",1999,"05","045","07392","00","WMFK  ","PR",20,"I",71,,,,15,,,15,,7043,,60,,7103,1029,,,6050,"BALLARD PETROLEUM LLC                             ","SHAEFFER                           ","13-2           ",2000-01-05 00:00:00
"01",2000,"05","045","07392","00","WMFK  ","PR",31,"M",27,,,112,2,,,114,,10273,,93,,10366,1029,,,6050,"BALLARD PETROLEUM LLC                             ","SHAEFFER                           ","13-2           ",2000-03-17 00:00:00
"04",2000,"05","045","07392","00","WMFK  ","PR",30,"M",26,,,175,30,180,,25,56.6,8204,,90,,8294,1116,,,6050,"BALLARD PETROLEUM LLC                             ","SHAEFFER                           ","13-2           ",2000-07-10 00:00:00
"11",1999,"05","045","07392","00","WMFK  ","PR",24,"M",116,,,15,30,3,,42,45.1,11163,,72,,11235,1029,,,6050,"BALLARD PETROLEUM LLC                             ","SHAEFFER                           ","13-2           ",2000-01-19 00:00:00
"03",2000,"05","045","07392","00","WMFK  ","PR",31,"M",65,,,141,38,4,,175,56,9217,,93,,9310,1116,,,6050,"BALLARD PETROLEUM LLC                             ","SHAEFFER                           ","13-2           ",2000-05-26 00:00:00
"05",2000,"05","045","07392","00","WMFK  ","PR",30,"M",39,,,25,32,2,,55,51.2,7621,,90,,7711,1116,,,6050,"BALLARD PETROLEUM LLC                             ","SHAEFFER                           ","13-2           ",2000-08-02 00:00:00
"12",1999,"05","045","07392","00","WMFK  ","PR",31,"M",63,,,42,70,,,112,,12789,,93,,12882,1029,,,6050,"BALLARD PETROLEUM LLC                             ","SHAEFFER                           ","13-2           ",2000-02-17 00:00:00
"11",1999,"05","067","08243","00","FRLDC ","PR",22,"I",11018,,,,,,,,,10530,,22,,10552,980,,,77330,"SG INTERESTS I, LTD                               ","ARGENTA 34-10                      ","33-1           ",2000-05-03 00:00:00
"03",2000,"05","067","08243","00","FRLDC ","PR",26,"P",13969,,,,,,,,,20691,,26,,20717,979,,,77330,"SG INTERESTS I, LTD                               ","ARGENTA 34-10                      ","33-1           ",2000-07-05 00:00:00
"09",2000,"05","067","08243","00","FRLDC ","PR",27,"I",12973,,,,,,,,,22010,,27,,22037,979,,,77330,"SG INTERESTS I, LTD                               ","ARGENTA 34-10                      ","33-1           ",2000-11-06 00:00:00
"02",2000,"05","067","08243","00","FRLDC ","PR",29,"P",15006,,,,,,,,,22402,,29,,22431,979,,,77330,"SG INTERESTS I, LTD                               ","ARGENTA 34-10                      ","33-1           ",2000-07-12 00:00:00
"10",2000,"05","067","08243","00","FRLDC ","PR",31,"I",13089,,,,,,,,,27983,,66,,28049,962,,,77330,"SG INTERESTS I, LTD                               ","ARGENTA 34-10                      ","33-1           ",2000-12-07 00:00:00
"05",2000,"05","067","08243","00","FRLDC ","PR",20,"I",4352,,,,,,,,,13397,,67,,13464,966,,,77330,"SG INTERESTS I, LTD                               ","ARGENTA 34-10                      ","33-1           ",2000-08-07 00:00:00
"07",2000,"05","067","08243","00","FRLDC ","PR",30,"I",15173,,,,,,,,,21031,,75,,21106,972,,,77330,"SG INTERESTS I, LTD                               ","ARGENTA 34-10                      ","33-1           ",2000-09-05 00:00:00
"01",2000,"05","067","08243","00","FRLDC ","PR",31,"P",19317,,,,,,,,,23116,,31,,23147,979,,,77330,"SG INTERESTS I, LTD                               ","ARGENTA 34-10                      ","33-1           ",2000-07-17 00:00:00
"08",2000,"05","067","08243","00","FRLDC ","PR",26,"I",10818,,,,,,,,,19321,,28,,19349,962,,,77330,"SG INTERESTS I, LTD                               ","ARGENTA 34-10                      ","33-1           ",2000-10-12 00:00:00
"12",1999,"05","067","08243","00","FRLDC ","PR",31,"P",19444,,,,,,,,,20183,,31,,20214,978,,,77330,"SG INTERESTS I, LTD                               ","ARGENTA 34-10                      ","33-1           ",2000-07-12 00:00:00
"04",2000,"05","067","08243","00","FRLDC ","PR",29,"P",13655,,,,,,,,,20329,,121,,20450,965,,,77330,"SG INTERESTS I, LTD                               ","ARGENTA 34-10                      ","33-1           ",2000-07-11 00:00:00
